HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-383	Anaerovoracaceae [G1]	bacterium HMT-383	186804
HMT-386	Anaerosphaera	mikwangii	652713
HMT-388	Selenomonas	sp. HMT-388	712536
HMT-389	Abiotrophia	defectiva	46125
HMT-390	Parvisynbacter	sp. HMT-390	0
HMT-391	Saccharimonadales [F5 G1]	bacterium HMT-391	0
HMT-392	Pseudoleptotrichia	sp. HMT-392	712364
HMT-393	Parvimonas	sp. HMT-393	713008
HMT-394	Saccharimonas	sp. HMT-394	0
HMT-396	Prevotella	sp. HMT-396	712467
HMT-397	Saccharimonas	sp. HMT-397	0
HMT-398	Streptococcus	oralis	1458253
HMT-399	Nanogingivalis	sp. HMT-399	0
HMT-400	Nanogingivalis	sp. HMT-400	0
HMT-401	Nanogingivalis	sp. HMT-401	0
HMT-402	Clostridiales [F1 G2]	bacterium HMT-402	186802
HMT-403	Actinomyces	sp. HMT-403	0
HMT-404	Schaalia	sp. HMT-404	0
HMT-405	Kingella	negevensis	0
HMT-406	Ralstonia	sp. HMT-406	48736
HMT-407	Aeriscardovia	sp. HMT-407	240233
HMT-408	Acinetobacter	sp. HMT-408	712104
HMT-409	Lautropia	dentalis	0
HMT-410	Prevotella	sp. HMT-410	0
HMT-411	Streptococcus	parasanguinis	1318
HMT-413	Alloprevotella	sp. HMT-413	0
HMT-414	Actinomyces	sp. HMT-414	712122
HMT-415	Streptococcus	rubneri	0
HMT-416	Fannyhessea	sp. HMT-416	712157
HMT-417	Leptotrichia	sp. HMT-417	712365
HMT-418	Lentilactobacillus	parafarraginis	390842
HMT-419	Stomatobaculum	longum	796942
HMT-420	Fusobacterium	animalis	76859
HMT-421	Veillonella	tobetsuensis	0
HMT-422	Cloacibacterium	normanense	237258
HMT-423	Streptococcus	sp. HMT-423	712632
HMT-424	Lentilactobacillus	kisonensis	481722
HMT-425	Streptococcus	pseudopneumoniae	0
HMT-426	Aggregatibacter	kilianii	0
HMT-427	Abiotrophia	sp. HMT-427	0
HMT-428	Catonella	massiliensis	0
HMT-429	Fusobacterium	pseudoperiodonticum	0
HMT-430	Lachnoanaerobaculum	sp. HMT-430	0
HMT-431	Streptococcus	infantis	712633
HMT-432	Treponema	vincentii	0
HMT-433	Campylobacter	concisus	0
HMT-434	Gemella	haemolysans	0
HMT-435	Syntrophomonadaceae [G1]	bacterium HMT-435	68298
HMT-436	Odoribacteraceae [G3]	bacterium HMT-436	200643
HMT-438	Treponema	socranskii	0
HMT-439	Anaerolineae [G1]	bacterium HMT-439	292628
HMT-440	Treponema	socranskii	0
HMT-441	Lachnoanaerobaculum	sp. HMT-441	0
HMT-442	Selenomonas	sp. HMT-442	712537
HMT-443	Segatella	sp. HMT-443	712468
HMT-444	Streptococcus	infantis	0
HMT-445	Corynebacterium	aurimucosum	0
HMT-447	Fusobacterium	simiae	0
HMT-448	Actinomyces	sp. HMT-448	712124
HMT-450	Corynebacterium	aurimucosum	0
HMT-451	Catonella	sp. HMT-451	712234
HMT-454	Corynebacterium	macclintockiae	0
HMT-455	Butyrivibrio	sp. HMT-455	830
HMT-456	Streptococcus	koreensis	0
HMT-457	Oribacterium	sinus	237576
HMT-458	Aggregatibacter	sp. HMT-458	712148
HMT-459	Kingella	sp. HMT-459	712320
HMT-460	Lachnoanaerobaculum	gingivalis	0
HMT-461	Lactobacillus	ultunensis	227945
HMT-463	Leptotrichia	sp. HMT-463	712367
HMT-464	Fusobacterium	watanabei	0
HMT-465	Bacteroides	zoogleoformans	28119
HMT-466	Alloprevotella	tannerae	76122
HMT-467	Anaerovoracaceae [G1]	sulci	186804
HMT-468	Bacillus	subtilis	1423
HMT-469	Prevotella	melaninogenica	28132
HMT-473	Alloprevotella	sp. HMT-473	1283313
HMT-475	Hoylesella	sp. HMT-475	712471
HMT-476	Neisseria	subflava	28449
HMT-477	Stutzerimonas	stutzeri	316
HMT-479	Selenomonas	sp. HMT-479	712539
HMT-481	Selenomonas	sp. HMT-481	712540
HMT-483	Selenomonadaceae [G1]	bacterium HMT-483	1843491
HMT-484	Erysipelothrix	tonsillarum	38402
HMT-485	Agrobacterium	tumefaciens	358
HMT-488	Nanosynbacter	fur	713059
HMT-490	Treponema	sp. HMT-490	713469
HMT-493	Anaerovoracaceae [G5]	bacterium HMT-493	186804
HMT-494	Lachnoanaerobaculum	saburreum	467210
HMT-495	Anaerovoracaceae [G3]	bacterium HMT-495	186804
HMT-496	Lachnoanaerobaculum	sp. HMT-496	1164882
HMT-498	Leptotrichia	sp. HMT-498	712368
HMT-499	Neisseria	sp. HMT-499	712402
HMT-500	Lachnospiraceae [G8]	bacterium HMT-500	186803
HMT-501	Selenomonas	sp. HMT-501	712541
HMT-503	Odoribacteraceae [G3]	bacterium HMT-503	200643
HMT-504	Mollicutes [O1 F1 G1]	bacterium HMT-504	31969
HMT-505	Odoribacteraceae [G5]	bacterium HMT-505	200643
HMT-507	Odoribacteraceae [G5]	bacterium HMT-507	200643
HMT-508	Treponema	sp. HMT-508	712747
HMT-509	Odoribacteraceae [G4]	bacterium HMT-509	200643
HMT-511	Odoribacteraceae [G5]	bacterium HMT-511	200643
HMT-513	Aggregatibacter	sp. HMT-513	712150
HMT-515	Hallella	sp. HMT-515	712472
HMT-516	Odoribacter	sp. HMT-516	283168
HMT-517	Treponema	sp. HMT-517	712748
HMT-518	Treponema	sp. HMT-518	712749
HMT-521	Mitsuokella	sp. HMT-521	712391
HMT-523	Neisseria	sp. HMT-523	712403
HMT-524	Veillonella	atypica	39777
HMT-525	Actinomyces	sp. HMT-525	712126
HMT-526	Hoylesella	koreensis	2490854
HMT-529	Lactobacillus	acidophilus	1579
HMT-530	Cutibacterium	acnes	1747
HMT-531	Aggregatibacter	actinomycetemcomitans	714
HMT-534	Granulicatella	adiacens	46124
HMT-535	Haemophilus	aegyptius	197575
HMT-536	Pseudomonas	aeruginosa	287
HMT-537	Streptococcus	agalactiae	1311
HMT-538	Pseudoramibacter	alactolyticus	113287
HMT-539	Filifactor	alocis	143361
HMT-540	Cardiobacterium	valvarum	194702
HMT-541	Treponema	amylovorum	59892
HMT-542	Peptostreptococcus	anaerobius	1261
HMT-543	Streptococcus	anginosus	1328
HMT-544	Brucella	anthropi	529
HMT-545	Aggregatibacter	aphrophilus	732
HMT-547	Porphyromonas	asaccharolytica	28123
HMT-548	Peptoniphilus	asaccharolyticus	1258
HMT-550	Staphylococcus	aureus	1280
HMT-552	Cutibacterium	avidum	33010
HMT-553	Segatella	baroniae	305719
HMT-554	Acinetobacter	baumannii	470
HMT-555	Gemella	bergeri	84136
HMT-556	Prevotella	bivia	28125
HMT-557	Gallibacter	brachy	186804
