HMT-160_16S000314	HMT-160	Veillonella dispar 39778
HMT-161_16S000315	HMT-161	Veillonella parvula 29466
HMT-156_16S000316	HMT-156	Veillonella nakazawae 0
HMT-421_16S000317	HMT-421	Veillonella tobetsuensis 0
HMT-161_16S000318	HMT-161	Veillonella parvula 29466
HMT-161_16S000319	HMT-161	Veillonella parvula 29466
HMT-156_16S000321	HMT-156	Veillonella nakazawae 0
HMT-161_16S000322	HMT-161	Veillonella parvula 29466
HMT-861_16S000323	HMT-861	Lactiplantibacillus plantarum 1590
HMT-160_16S000324	HMT-160	Veillonella dispar 39778
HMT-524_16S000325	HMT-524	Veillonella atypica 39777
HMT-156_16S000326	HMT-156	Veillonella nakazawae 0
HMT-817_16S000327	HMT-817	Lactobacillus crispatus 47770
HMT-524_16S000328	HMT-524	Veillonella atypica 39777
HMT-817_16S000329	HMT-817	Lactobacillus crispatus 47770
HMT-524_16S000330	HMT-524	Veillonella atypica 39777
HMT-524_16S000331	HMT-524	Veillonella atypica 39777
HMT-160_16S000332	HMT-160	Veillonella dispar 39778
HMT-160_16S000333	HMT-160	Veillonella dispar 39778
HMT-161_16S000334	HMT-161	Veillonella parvula 29466
HMT-160_16S000335	HMT-160	Veillonella dispar 39778
HMT-161_16S000336	HMT-161	Veillonella parvula 29466
HMT-161_16S000337	HMT-161	Veillonella parvula 29466
HMT-161_16S000338	HMT-161	Veillonella parvula 29466
HMT-161_16S000339	HMT-161	Veillonella parvula 29466
HMT-887_16S000340	HMT-887	Veillonella denticariosi 419208
HMT-817_16S000341	HMT-817	Lactobacillus crispatus 47770
HMT-161_16S000342	HMT-161	Veillonella parvula 29466
HMT-156_16S000343	HMT-156	Veillonella nakazawae 0
HMT-817_16S000344	HMT-817	Lactobacillus crispatus 47770
HMT-156_16S000345	HMT-156	Veillonella nakazawae 0
HMT-604_16S000346	HMT-604	Enterococcus faecalis 1351
HMT-558_16S000347	HMT-558	Levilactobacillus brevis 1580
HMT-161_16S000348	HMT-161	Veillonella parvula 29466
HMT-524_16S000349	HMT-524	Veillonella atypica 39777
HMT-156_16S000350	HMT-156	Veillonella nakazawae 0
HMT-161_16S000351	HMT-161	Veillonella parvula 29466
HMT-156_16S000352	HMT-156	Veillonella nakazawae 0
